#Surfing Trial Path#
#TimeStamp#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	
0	-276.1784	1.8	-330.7358	-0.001355224	0.9509585	0.004166869	0.3092877
0.02	-276.1784	1.8	-330.7358	-0.001355224	0.9509585	0.004166869	0.3092877
0.04	-276.1784	1.8	-330.7358	-0.001355224	0.9509585	0.004166869	0.3092877
0.06	-276.1784	1.8	-330.7358	-0.001355224	0.9509585	0.004166869	0.3092877
0.08	-277.0879	1.992107	-330.3672	-0.00221588	0.9566441	0.007280554	0.2911603
0.09999999	-277.0879	1.992107	-330.3672	-0.00221588	0.9566441	0.007280554	0.2911603
0.12	-277.9974	2.184214	-329.9985	-0.002795727	0.9619426	0.009848858	0.27306
0.14	-278.9069	2.37632	-329.6299	-0.003215298	0.966859	0.01219117	0.2549994
0.16	-279.8163	2.568427	-329.2612	-0.003515094	0.9713993	0.01440813	0.2369883
0.18	-279.8163	2.568427	-329.2612	-0.003515094	0.9713993	0.01440813	0.2369883
0.2	-280.7258	2.760534	-328.8926	-0.003719674	0.9755693	0.01656723	0.2190347
0.22	-281.6353	2.95264	-328.5239	-0.003840917	0.9793752	0.01870136	0.2011458
0.24	-281.6353	2.95264	-328.5239	-0.003840917	0.9793752	0.01870136	0.2011458
0.26	-282.5448	3.144747	-328.1553	-0.003884724	0.9828235	0.02082605	0.183328
0.28	-283.4543	3.336853	-327.7866	-0.003854183	0.9859205	0.02294809	0.1655875
0.3	-284.3638	3.52896	-327.418	-0.003751088	0.9886729	0.02506997	0.1479299
0.32	-285.2733	3.721066	-327.0493	-0.00357664	0.9910873	0.02719196	0.1303606
0.34	-285.2733	3.721066	-327.0493	-0.00357664	0.9910873	0.02719196	0.1303606
0.36	-286.1827	3.913172	-326.6807	-0.00332904	0.9931707	0.02928916	0.1128849
0.38	-287.0922	4.105278	-326.312	-0.003015657	0.9949283	0.03141489	0.09550768
0.4	-288.0017	4.297384	-325.9434	-0.00263305	0.9963675	0.03353402	0.07823356
0.42	-288.9112	4.48949	-325.5747	-0.002180806	0.9974955	0.03562229	0.06106693
0.4400001	-288.9112	4.48949	-325.5747	-0.002180806	0.9974955	0.03562229	0.06106693
0.4600001	-289.8207	4.681596	-325.2061	-0.001663543	0.9983168	0.03773375	0.04401213
0.4800001	-290.7302	4.873702	-324.8374	-0.001079665	0.998839	0.03983339	0.02707306
0.5000001	-291.6397	5.065808	-324.4688	-0.0004302417	0.9990682	0.04192144	0.01025348
0.52	-292.5492	5.257914	-324.1001	0.0002837647	0.9990109	0.04399729	-0.006443215
0.54	-292.5492	5.257914	-324.1001	0.0002837647	0.9990109	0.04399729	-0.006443215
0.56	-293.4587	5.450019	-323.7314	0.001061406	0.998673	0.04605987	-0.02301348
0.58	-293.4587	5.450019	-323.7314	0.001061406	0.998673	0.04605987	-0.02301348
0.6	-294.3682	5.642126	-323.3628	0.001817044	0.9981613	0.04601217	-0.0394179
0.6199999	-295.2777	5.834231	-322.9941	0.002565523	0.9973878	0.04598303	-0.05564708
0.6399999	-296.1872	6.026337	-322.6255	0.003306623	0.9963619	0.04595048	-0.07169878
0.6599999	-296.1872	6.026337	-322.6255	0.003306623	0.9963619	0.04595048	-0.07169878
0.6799999	-297.0967	6.218443	-322.2568	0.004038769	0.9950924	0.04589356	-0.08757107
0.6999999	-298.0062	6.410549	-321.8882	0.004762524	0.9935866	0.04582492	-0.1032622
0.7199998	-298.9157	6.602654	-321.5195	0.005477823	0.9918523	0.04574534	-0.1187704
0.7399998	-298.9157	6.602654	-321.5195	0.005477823	0.9918523	0.04574534	-0.1187704
0.7599998	-299.8252	6.79476	-321.1509	0.006184609	0.989897	0.04565536	-0.1340944
0.7799998	-300.7347	6.986866	-320.7822	0.006882831	0.9877281	0.04555543	-0.1492328
0.7999998	-301.6442	7.178972	-320.4136	0.007572445	0.9853531	0.04544593	-0.1641848
0.8199998	-301.6442	7.178972	-320.4136	0.007572445	0.9853531	0.04544593	-0.1641848
0.8399997	-302.5537	7.371078	-320.0449	0.008253423	0.9827789	0.04532724	-0.1789496
0.8599997	-303.4632	7.563184	-319.6763	0.008925729	0.9800127	0.04519966	-0.1935264
0.8799997	-304.3727	7.755291	-319.3076	0.009591742	0.9770608	0.0450748	-0.2079147
0.8999997	-305.2822	7.947396	-318.939	0.01024682	0.9739309	0.04493041	-0.2221144
0.9199997	-305.2822	7.947396	-318.939	0.01024682	0.9739309	0.04493041	-0.2221144
0.9399996	-306.1917	8.139503	-318.5703	0.01089318	0.9706293	0.0447781	-0.2361252
0.9599996	-307.1012	8.331608	-318.2017	0.0115337	0.9671617	0.0446293	-0.2499469
0.9799996	-308.0107	8.523713	-317.833	0.01216278	0.9635357	0.04446197	-0.2635798
0.9999996	-308.0107	8.523713	-317.833	0.01216278	0.9635357	0.04446197	-0.2635798
1.02	-308.9202	8.715819	-317.4644	0.01278317	0.9597567	0.0442876	-0.2770241
1.04	-309.8297	8.907926	-317.0957	0.01339485	0.9558309	0.04410644	-0.2902799
1.06	-310.7392	9.100031	-316.7271	0.01399787	0.9517643	0.04391879	-0.303348
1.08	-310.7392	9.100031	-316.7271	0.01399787	0.9517643	0.04391879	-0.303348
1.1	-311.6487	9.292136	-316.3584	0.01459225	0.9475625	0.0437249	-0.3162287
1.12	-312.5582	9.484242	-315.9897	0.01518181	0.9432306	0.0435359	-0.3289227
1.14	-313.4677	9.676347	-315.6211	0.01575914	0.9387753	0.04333025	-0.341431
1.159999	-313.4677	9.676347	-315.6211	0.01575914	0.9387753	0.04333025	-0.341431
1.179999	-314.3772	9.868453	-315.2524	0.01632794	0.9342013	0.04311914	-0.3537543
1.199999	-315.2867	10.06056	-314.8838	0.01688823	0.9295139	0.04290279	-0.3658935
1.219999	-314.3772	9.86846	-315.2524	0.01744008	0.9247183	0.04268143	-0.3778495
1.239999	-314.3772	9.86846	-315.2524	0.01744008	0.9247183	0.04268143	-0.3778495
1.259999	-315.2867	10.06055	-314.8838	0.01798354	0.9198192	0.04245532	-0.3896239
1.279999	-314.3772	9.868466	-315.2524	0.01851865	0.9148217	0.04222465	-0.4012173
1.299999	-315.2867	10.06055	-314.8838	0.01904547	0.9097306	0.04198966	-0.4126312
1.319999	-314.3772	9.868472	-315.2524	0.01956406	0.9045501	0.04175055	-0.4238669
1.339999	-314.3772	9.868472	-315.2524	0.01956406	0.9045501	0.04175055	-0.4238669
1.359999	-315.2867	10.06055	-314.8838	0.02007449	0.8992853	0.04150755	-0.4349256
1.379999	-314.3772	9.868478	-315.2524	0.02057682	0.8939399	0.04126083	-0.4458089
1.399999	-315.2867	10.06055	-314.8838	0.02107113	0.8885186	0.0410106	-0.4565183
1.419999	-314.3772	9.868482	-315.2524	0.02155747	0.8830252	0.04075705	-0.4670553
1.439999	-315.2867	10.06054	-314.8838	0.02203592	0.8774641	0.04050037	-0.4774211
1.459999	-315.2867	10.06054	-314.8838	0.02296946	0.8661535	0.03997831	-0.4976467
1.479999	-314.3772	9.868487	-315.2524	0.0234247	0.8604115	0.03971328	-0.5075099
1.499999	-315.2867	10.06054	-314.8838	0.02387235	0.8546165	0.03944581	-0.5172086
1.519999	-314.3772	9.868489	-315.2524	0.02429971	0.8487731	0.03915542	-0.5267454
1.539999	-314.3772	9.868491	-315.2524	0.0251626	0.8369488	0.03861799	-0.5453367
1.559999	-315.2867	10.06054	-314.8838	0.02558148	0.8309758	0.03834372	-0.5543957
1.579999	-314.3772	9.868493	-315.2524	0.02599278	0.8249661	0.03806708	-0.5632995
1.599999	-315.2867	10.06054	-314.8838	0.02639677	0.8189229	0.03778854	-0.5720495
1.619999	-314.3772	9.868495	-315.2524	0.02677953	0.8128498	0.03748867	-0.5806485
1.639999	-315.2867	10.06054	-314.8838	0.02717301	0.8067477	0.03721249	-0.5890968
1.659999	-314.3772	9.868495	-315.2524	0.02755782	0.8006204	0.03693247	-0.5973973
1.679999	-315.2867	10.06054	-314.8838	0.02793497	0.7944707	0.03665008	-0.6055517
1.699999	-315.2867	10.06054	-314.8838	0.0286682	0.7821135	0.03608098	-0.6214297
1.719999	-314.3772	9.868495	-315.2524	0.02902482	0.7759107	0.03579498	-0.6291572
1.739999	-315.2867	10.06054	-314.8838	0.02937498	0.7696953	0.03550833	-0.636746
1.759999	-314.3772	9.868495	-315.2524	0.0297188	0.7634692	0.03522113	-0.6441981
1.779999	-315.2867	10.06054	-314.8838	0.03004054	0.7572353	0.03491512	-0.6515161
1.799999	-315.2867	10.06054	-314.8838	0.03070343	0.7447482	0.03434652	-0.6657536
1.819999	-314.3772	9.868495	-315.2524	0.03102384	0.7384999	0.03405955	-0.6726778
1.839999	-315.2867	10.06054	-314.8838	0.03133787	0.732251	0.03377195	-0.6794747
1.859999	-314.3772	9.868495	-315.2524	0.03165374	0.7260029	0.03349245	-0.6861459
1.879999	-315.2867	10.06054	-314.8838	0.03195595	0.719758	0.0332045	-0.6926938
1.899999	-315.2867	10.06054	-314.8838	0.03254345	0.7072836	0.03262912	-0.7054263
1.919999	-314.3772	9.868495	-315.2524	0.03282896	0.7010567	0.03234188	-0.7116148
1.939999	-315.2867	10.06054	-314.8838	0.03310908	0.6948395	0.03205507	-0.7176868
1.959999	-314.3772	9.868495	-315.2524	0.03339226	0.6886324	0.03177667	-0.723644
1.979999	-314.3772	9.868495	-315.2524	0.03392656	0.6762565	0.03120559	-0.7352226
1.999999	-315.2867	10.06054	-314.8838	0.03418611	0.6700899	0.03092103	-0.7408473
2.019999	-314.3772	9.868495	-315.2524	0.0344407	0.663939	0.0306372	-0.7463647
2.039999	-315.2867	10.06054	-314.8838	0.03469043	0.657805	0.03035415	-0.7517765
2.059999	-314.3772	9.868495	-315.2524	0.03493534	0.6516894	0.03007195	-0.757084
2.079999	-314.3772	9.868495	-315.2524	0.0354111	0.6395168	0.02951025	-0.7673941
2.099999	-315.2867	10.06054	-314.8838	0.03565099	0.6334614	0.02923814	-0.7723994
2.119999	-314.3772	9.868495	-315.2524	0.03587754	0.6274285	0.02895968	-0.7773079
2.139999	-315.2867	10.06054	-314.8838	0.03609968	0.6214189	0.0286823	-0.7821206
2.159999	-314.3772	9.868495	-315.2524	0.03629834	0.6154341	0.02839107	-0.7868401
2.179999	-314.3772	9.868495	-315.2524	0.0367286	0.6035379	0.02784808	-0.796001
2.199999	-315.2867	10.06054	-314.8838	0.03693501	0.597629	0.02757639	-0.8004467
2.219999	-314.3772	9.868495	-315.2524	0.03713675	0.5917473	0.02730547	-0.8048046
2.239999	-315.2867	10.06054	-314.8838	0.03733418	0.5858932	0.02703558	-0.8090762
2.259999	-314.3772	9.868495	-315.2524	0.03752754	0.5800677	0.02676688	-0.8132631
2.279999	-314.3772	9.868495	-315.2524	0.03790253	0.5685059	0.02623346	-0.8213868
2.299999	-315.2867	10.06054	-314.8838	0.0380844	0.5627697	0.02596878	-0.8253275
2.319999	-314.3772	9.868495	-315.2524	0.03826259	0.5570643	0.02570551	-0.8291891
2.339998	-315.2867	10.06054	-314.8838	0.03843721	0.5513899	0.02544367	-0.8329732
2.359998	-314.3772	9.868495	-315.2524	0.03860833	0.545747	0.02518328	-0.8366812
2.379998	-314.3772	9.868495	-315.2524	0.03894022	0.534558	0.02466697	-0.8438737
2.399998	-315.2867	10.06054	-314.8838	0.03910114	0.5290129	0.02441109	-0.847361
2.419998	-314.3772	9.868495	-315.2524	0.03925879	0.5235008	0.02415674	-0.8507774
2.439998	-315.2867	10.06054	-314.8838	0.03941322	0.5180224	0.02390394	-0.8541241
2.459998	-314.3772	9.868495	-315.2524	0.0395645	0.5125781	0.02365271	-0.8574024
2.479998	-314.3772	9.868495	-315.2524	0.03986777	0.5017921	0.02316079	-0.8637586
2.499998	-315.2867	10.06054	-314.8838	0.04000997	0.496451	0.02291427	-0.8668394
2.519998	-314.3772	9.868495	-315.2524	0.04014923	0.491145	0.02266936	-0.8698567
2.539998	-315.2867	10.06054	-314.8838	0.04028562	0.4858744	0.02242609	-0.8728117
2.559998	-315.2867	10.06054	-314.8838	0.04054999	0.4754396	0.02194446	-0.8785394
2.579998	-314.3772	9.868495	-315.2524	0.04067808	0.4702754	0.0217061	-0.8813145
2.599998	-315.2867	10.06054	-314.8838	0.04080351	0.4651468	0.02146938	-0.884032
2.619998	-314.3772	9.868495	-315.2524	0.04092633	0.4600543	0.02123433	-0.8866928
2.639998	-315.2867	10.06054	-314.8838	0.04104658	0.4549979	0.02100095	-0.8892981
2.659998	-315.2867	10.06054	-314.8838	0.04127956	0.4449941	0.02053921	-0.8943458
2.679998	-314.3772	9.868495	-315.2524	0.04139239	0.4400468	0.02031087	-0.8967903
2.699998	-315.2867	10.06054	-314.8838	0.04150285	0.4351359	0.0200842	-0.8991835
2.719998	-314.3772	9.868495	-315.2524	0.04161097	0.4302613	0.01985921	-0.9015261
2.739998	-315.2867	10.06054	-314.8838	0.04171681	0.4254233	0.0196359	-0.9038192
2.759998	-315.2867	10.06054	-314.8838	0.0419218	0.4158571	0.01919436	-0.9082604
2.779998	-314.3772	9.868495	-315.2524	0.04202104	0.4111289	0.01897613	-0.9104105
2.799998	-315.2867	10.06054	-314.8838	0.04211814	0.4064382	0.01875963	-0.9125142
2.819998	-314.3772	9.868495	-315.2524	0.04221318	0.4017838	0.01854479	-0.9145731
2.839998	-315.2867	10.06054	-314.8838	0.04230618	0.3971656	0.01833163	-0.9165881
2.859998	-315.2867	10.06054	-314.8838	0.04248624	0.3880382	0.01791035	-0.9204893
2.879998	-314.3772	9.868495	-315.2524	0.04255095	0.3835295	0.0176929	-0.9223782
2.899998	-315.2867	10.06054	-314.8838	0.04264208	0.3790565	0.01748898	-0.9242251
2.919998	-314.3772	9.868495	-315.2524	0.04272842	0.3746197	0.01728548	-0.9260322
2.939998	-315.2867	10.06054	-314.8838	0.04281149	0.370219	0.01708302	-0.9278002
2.959998	-315.2867	10.06054	-314.8838	0.04295382	0.361526	0.01667584	-0.9312228
2.979998	-314.3772	9.868495	-315.2524	0.04303334	0.3572329	0.01647903	-0.932878
2.999998	-315.2867	10.06054	-314.8838	0.04310963	0.3529755	0.01628324	-0.9344971
3.019998	-314.3772	9.868495	-315.2524	0.04318348	0.3487536	0.01608878	-0.9360808
3.039998	-314.3772	9.868495	-315.2524	0.04332544	0.3404158	0.01570435	-0.939145
3.059998	-315.2867	10.06054	-314.8838	0.0433939	0.3362998	0.0155145	-0.9406268
3.079998	-314.3772	9.868495	-315.2524	0.0434608	0.3322186	0.01532624	-0.9420759
3.099998	-315.2867	10.06054	-314.8838	0.04352621	0.3281722	0.01513958	-0.9434931
3.119998	-314.3772	9.868495	-315.2524	0.04359015	0.3241602	0.0149545	-0.9448791
3.139998	-315.2867	10.06054	-314.8838	0.04365268	0.3201826	0.014771	-0.9462343
3.159998	-314.3772	9.868495	-315.2524	0.04371382	0.3162393	0.01458909	-0.9475595
3.179998	-314.3772	9.868495	-315.2524	0.04383203	0.3084554	0.01422999	-0.9501219
3.199998	-315.2867	10.06054	-314.8838	0.04388917	0.3046142	0.01405279	-0.9513603
3.219998	-314.3772	9.868495	-315.2524	0.043956	0.3008062	0.01388058	-0.9525707
3.239998	-315.2867	10.06054	-314.8838	0.04401061	0.2970322	0.01370643	-0.9537542
3.259998	-314.3772	9.868495	-315.2524	0.044064	0.2932912	0.0135338	-0.9549113
3.279998	-314.3772	9.868495	-315.2524	0.04417822	0.2859088	0.01319645	-0.9571469
3.299998	-315.2867	10.06054	-314.8838	0.04422807	0.2822679	0.0130284	-0.958227
3.319998	-314.3772	9.868495	-315.2524	0.0442768	0.2786592	0.01286184	-0.9592826
3.339998	-315.2867	10.06054	-314.8838	0.04432441	0.275083	0.01269677	-0.9603143
3.359998	-315.2867	10.06054	-314.8838	0.04441642	0.2680263	0.01237106	-0.9623077
3.379997	-314.3772	9.868495	-315.2524	0.04446085	0.2645457	0.01221041	-0.9632704
3.399997	-315.2867	10.06054	-314.8838	0.04450427	0.2610963	0.0120512	-0.964211
3.419997	-314.3772	9.868495	-315.2524	0.04454668	0.2576786	0.01189345	-0.96513
3.439997	-315.2867	10.06054	-314.8838	0.04458813	0.254292	0.01173714	-0.9660279
3.459997	-315.2867	10.06054	-314.8838	0.04466816	0.2476113	0.01142878	-0.9677618
3.479997	-314.3772	9.868495	-315.2524	0.04470679	0.2443168	0.01127672	-0.9685987
3.499997	-315.2867	10.06054	-314.8838	0.04472095	0.2410529	0.0111202	-0.9694173
3.519997	-314.3772	9.868495	-315.2524	0.04476399	0.2378187	0.01097252	-0.9702155
3.539997	-315.2867	10.06054	-314.8838	0.04480308	0.2346143	0.01082543	-0.9709952
3.559997	-315.2867	10.06054	-314.8838	0.04487487	0.2282947	0.01053438	-0.9725003
3.579997	-314.3772	9.868495	-315.2524	0.04490877	0.2251784	0.01039068	-0.9732265
3.599997	-315.2867	10.06054	-314.8838	0.04494168	0.2220915	0.01024828	-0.9739356
3.619997	-314.3772	9.868495	-315.2524	0.04497373	0.2190334	0.01010719	-0.974628
3.639997	-315.2867	10.06054	-314.8838	0.04500497	0.2160034	0.009967383	-0.9753039
3.659997	-315.2867	10.06054	-314.8838	0.04506518	0.2100282	0.009691668	-0.9766081
3.679997	-314.3772	9.868495	-315.2524	0.04509421	0.2070826	0.009555742	-0.9772369
3.699997	-315.2867	10.06054	-314.8838	0.04512254	0.2041643	0.009421083	-0.9778508
3.719997	-314.3772	9.868495	-315.2524	0.04515018	0.2012739	0.009287707	-0.9784498
3.739997	-315.2867	10.06054	-314.8838	0.04517715	0.198411	0.009155597	-0.9790344
3.759997	-315.2867	10.06054	-314.8838	0.04522917	0.1927657	0.008895098	-0.9801615
3.779997	-314.3772	9.868495	-315.2524	0.04525423	0.1899833	0.008766706	-0.9807046
3.799997	-315.2867	10.06054	-314.8838	0.04525483	0.1872273	0.008634968	-0.9812357
3.819997	-314.3772	9.868495	-315.2524	0.04528495	0.1844973	0.008510241	-0.9817523
3.839997	-314.3772	9.868495	-315.2524	0.04534693	0.1791155	0.008264927	-0.9827477
3.859997	-315.2867	10.06054	-314.8838	0.04536986	0.1764628	0.008142664	-0.9832274
3.879997	-314.3772	9.868495	-315.2524	0.04539184	0.1738357	0.00802151	-0.9836953
3.899997	-315.2867	10.06054	-314.8838	0.04541309	0.1712339	0.007901487	-0.9841515
3.919997	-314.3772	9.868495	-315.2524	0.04543371	0.168657	0.007782592	-0.9845964
3.939997	-314.3772	9.868495	-315.2524	0.04544936	0.1635772	0.007544214	-0.9854542
3.959997	-315.2867	10.06054	-314.8838	0.04547469	0.1610739	0.007429796	-0.9858661
3.979997	-314.3772	9.868495	-315.2524	0.04549639	0.1585945	0.007315942	-0.9862679
3.999997	-315.2867	10.06054	-314.8838	0.04551604	0.1561391	0.007202925	-0.9866595
4.019997	-314.3772	9.868495	-315.2524	0.04553445	0.1537075	0.007090873	-0.9870412
4.039997	-314.3772	9.868495	-315.2524	0.0455449	0.1489147	0.006866235	-0.9877768
4.059997	-315.2867	10.06054	-314.8838	0.04556761	0.1465529	0.006758289	-0.9881297
4.079997	-314.3772	9.868495	-315.2524	0.04558669	0.144214	0.0066509	-0.9884736
4.099997	-315.2867	10.06054	-314.8838	0.04560375	0.1418979	0.006544317	-0.9888086
4.119997	-314.3772	9.868495	-315.2524	0.04561961	0.1396044	0.006438653	-0.989135
4.139997	-314.3772	9.868495	-315.2524	0.04566055	0.1350837	0.006231797	-0.9897619
4.159997	-315.2867	10.06054	-314.8838	0.04567456	0.1328564	0.006129061	-0.9900634
4.179997	-314.3772	9.868495	-315.2524	0.04568815	0.1306507	0.00602731	-0.9903569
4.199997	-315.2867	10.06054	-314.8838	0.04570135	0.1284667	0.005926561	-0.9906425
4.219997	-314.3772	9.868495	-315.2524	0.04571419	0.1263039	0.005826784	-0.9909206
4.239997	-314.3772	9.868495	-315.2524	0.04573883	0.1220414	0.005630145	-0.9914546
4.259997	-315.2867	10.06054	-314.8838	0.04575066	0.1199411	0.005533252	-0.9917108
4.279997	-314.3772	9.868495	-315.2524	0.04577358	0.1178615	0.005438674	-0.9919596
4.299997	-315.2867	10.06054	-314.8838	0.04578478	0.1158023	0.005343652	-0.9922021
4.319997	-314.3772	9.868495	-315.2524	0.04579566	0.1137634	0.005249567	-0.992438
4.339997	-314.3772	9.868495	-315.2524	0.04581653	0.1097452	0.00506415	-0.9928904
4.359997	-315.2867	10.06054	-314.8838	0.04582654	0.1077658	0.004972809	-0.9931071
4.379997	-314.3772	9.868495	-315.2524	0.0458477	0.1058057	0.004883584	-0.9933174
4.399997	-315.2867	10.06054	-314.8838	0.04585716	0.103865	0.004794007	-0.9935222
4.419997	-315.2867	10.06054	-314.8838	0.04587527	0.1000406	0.004617488	-0.9939145
4.439997	-314.3772	9.868495	-315.2524	0.04588394	0.09815651	0.004530527	-0.9941024
4.459997	-315.2867	10.06054	-314.8838	0.04589236	0.09629081	0.004444413	-0.9942848
4.479997	-314.3772	9.868495	-315.2524	0.04590053	0.09444374	0.00435916	-0.994462
4.499997	-315.2867	10.06054	-314.8838	0.04590847	0.09261508	0.004274756	-0.9946339
4.519997	-315.2867	10.06054	-314.8838	0.04588164	0.0890118	0.004104676	-0.9949648
4.539997	-315.2867	10.06054	-314.8838	0.04588164	0.0890118	0.004104676	-0.9949648
4.559997	-315.2867	10.06054	-314.8838	0.04591024	0.08548091	0.003943086	-0.9952737
4.579997	-314.3772	9.868495	-315.2524	0.04591945	0.08374142	0.003863047	-0.9954215
4.599997	-315.2867	10.06054	-314.8838	0.04592726	0.08201902	0.00378369	-0.9955648
4.619997	-314.3772	9.868495	-315.2524	0.04593427	0.08031369	0.003705068	-0.9957038
