#Segway Trial Path#
#TimeStamp#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	
0	317.5878	1.789007	-314.9624	0	0	0	1
0.02	317.5793	1.797801	-315.5545	0	0	0	1
0.04	317.297	1.799607	-316.0282	0	0.004112324	0	0.9999915
0.06	317.2913	1.799922	-316.4254	0	0.004112324	0	0.9999915
0.08	317.051	1.799986	-316.6357	0	0.008246109	0	0.999966
0.09999999	316.8246	1.799998	-316.6331	0	0.0124014	0	0.9999231
0.12	316.6011	1.8	-316.433	0	0.01657823	0	0.9998626
0.14	316.6011	1.8	-316.433	0	0.01657823	0	0.9998626
0.16	316.3775	1.8	-316.2329	0	0.02077663	0	0.9997842
0.18	316.154	1.8	-316.0329	0	0.02499666	0	0.9996876
0.2	315.9305	1.8	-315.8328	0	0.02923832	0	0.9995725
0.22	315.9305	1.8	-315.8328	0	0.02923832	0	0.9995725
0.24	315.7069	1.8	-315.6327	0	0.03350167	0	0.9994387
0.26	315.7069	1.8	-315.6327	0	0.03778672	0	0.9992859
0.28	315.7069	1.8	-315.6327	0	0.04209351	0	0.9991137
0.3	315.7069	1.8	-315.6327	0	0.04642206	0	0.998922
0.32	315.7069	1.8	-315.6327	0	0.0507724	0	0.9987103
0.34	315.7069	1.8	-315.6327	0	0.0507724	0	0.9987103
0.36	315.7069	1.8	-315.6327	0	0.05514454	0	0.9984784
0.38	315.7069	1.8	-315.6327	0	0.05953852	0	0.998226
0.4	315.7069	1.8	-315.6327	0	0.06395434	0	0.9979529
0.42	315.7069	1.8	-315.6327	0	0.06395434	0	0.9979529
0.4400001	315.7069	1.8	-315.6327	0	0.06839202	0	0.9976586
0.4600001	315.7069	1.8	-315.6327	0	0.07285156	0	0.9973428
0.4800001	315.7069	1.8	-315.6327	0	0.077333	0	0.9970054
0.5000001	315.7069	1.8	-315.6327	0	0.08183631	0	0.9966457
0.52	315.7069	1.8	-315.6327	0	0.08636153	0	0.9962639
0.54	315.7069	1.8	-315.6327	0	0.08636153	0	0.9962639
0.56	315.7069	1.8	-315.6327	0	0.09090865	0	0.9958593
0.58	315.7069	1.8	-315.6327	0	0.09547767	0	0.9954316
0.6	315.7069	1.8	-315.6327	0	0.09547767	0	0.9954316
0.6199999	315.7069	1.8	-315.6327	0	0.1000686	0	0.9949806
0.6399999	315.7069	1.8	-315.6327	0	0.1046814	0	0.9945059
0.6599999	315.7069	1.8	-315.6327	0	0.1093161	0	0.9940071
0.6799999	315.7069	1.8	-315.6327	0	0.1093161	0	0.9940071
0.6999999	315.7069	1.8	-315.6327	0	0.1139726	0	0.993484
0.7199998	315.7069	1.8	-315.6327	0	0.1186511	0	0.9929361
0.7399998	315.7069	1.8	-315.6327	0	0.1233513	0	0.9923632
0.7599998	315.7069	1.8	-315.6327	0	0.1233513	0	0.9923632
0.7799998	315.7069	1.8	-315.6327	0	0.1280734	0	0.9917647
0.7999998	315.7069	1.8	-315.6327	0	0.1328173	0	0.9911406
0.8199998	315.7069	1.8	-315.6327	0	0.137583	0	0.9904903
0.8399997	315.7069	1.8	-315.6327	0	0.137583	0	0.9904903
0.8599997	315.7069	1.8	-315.6327	0	0.1423704	0	0.9898135
0.8799997	315.7069	1.8	-315.6327	0	0.1471795	0	0.9891099
0.8999997	315.7069	1.8	-315.6327	0	0.1520102	0	0.9883789
0.9199997	315.7069	1.8	-315.6327	0	0.1520103	0	0.9883789
0.9399996	315.7069	1.8	-315.6327	0	0.1568627	0	0.9876205
0.9599996	315.7069	1.8	-315.6327	0	0.1617367	0	0.9868339
0.9799996	315.7069	1.8	-315.6327	0	0.1666323	0	0.9860191
0.9999996	315.7069	1.8	-315.6327	0	0.1666323	0	0.9860191
1.02	315.7069	1.8	-315.6327	0	0.1715494	0	0.9851755
1.04	315.7069	1.8	-315.6327	0	0.1764879	0	0.9843028
1.06	315.7069	1.8	-315.6327	0	0.1764879	0	0.9843028
1.08	315.7069	1.8	-315.6327	0	0.1814478	0	0.9834006
1.1	315.7069	1.8	-315.6327	0	0.186429	0	0.9824685
1.12	315.7069	1.8	-315.6327	0	0.186429	0	0.9824685
1.14	315.7069	1.8	-315.6327	0	0.1914314	0	0.981506
1.159999	315.7069	1.8	-315.6327	0	0.1964551	0	0.9805129
1.179999	315.7069	1.8	-315.6327	0	0.2014999	0	0.9794886
1.199999	315.7069	1.8	-315.6327	0	0.2065657	0	0.9784328
1.219999	315.7069	1.8	-315.6327	0	0.2065657	0	0.9784328
1.239999	315.7069	1.8	-315.6327	0	0.2167601	0	0.976225
1.259999	315.7069	1.8	-315.6327	0	0.2218884	0	0.9750721
1.279999	315.7069	1.8	-315.6327	0	0.2270375	0	0.9738861
1.299999	315.7069	1.8	-315.6327	0	0.2322071	0	0.9726664
1.319999	315.7069	1.8	-315.6327	0	0.2373972	0	0.9714127
1.339999	315.7069	1.8	-315.6327	0	0.2478383	0	0.9688014
1.359999	315.7069	1.8	-315.6327	0	0.2530891	0	0.967443
1.379999	315.7069	1.8	-315.6327	0	0.2583599	0	0.9660488
1.399999	315.7069	1.8	-315.6327	0	0.2636505	0	0.9646183
1.419999	315.7069	1.8	-315.6327	0	0.2689609	0	0.9631512
1.439999	315.7069	1.8	-315.6327	0	0.2742908	0	0.9616469
