#Time To Switch#	#Num of Incorrect Switch#	#Target Mode#	#Current Mode#
0.700178	0	Walking	Walking
0.7861364	0	Walking	
0.8656339	0	Walking	Walking
0.9941279	0	Walking	
1.025691	0	Walking	Walking
1.277886	0	Walking	
1.311787	0	Walking	Walking
1.774976	0	Walking	Walking
1.921324	0	Walking	
2.005382	0	Walking	Walking
2.839964	0	Walking	Walking
2.871031	0	Walking	Walking
3.012237	0	Walking	
3.086258	0	Walking	Walking
4.029671	0	Walking	
4.196464	0	Walking	Walking
5.793448	0	Walking	
5.854662	0	Walking	Walking
6.051238	0	Walking	Walking
6.541808	0	Walking	Walking
7.551361	0	Walking	
7.624056	0	Walking	Walking
7.969444	0	Walking	
8.018747	0	Walking	Walking
8.236379	0	Walking	Walking
8.685436	0	Walking	Walking
8.802594	0	Walking	
8.881546	0	Walking	Walking
8.934581	0	Walking	
9.02027	0	Walking	Walking
11.29396	0	Walking	
11.33113	0	Walking	Walking
11.70508	0	Walking	
11.7359	0	Walking	Walking
11.95291	0	Walking	Walking
12.38564	0	Walking	Walking
12.72455	0	Walking	
12.79071	0	Walking	Walking
15.63586	0	Walking	Walking
16.99061	0	Walking	Walking
17.43031	0	Walking	Walking
17.70117	0	Walking	Walking
20.30087	0	Walking	Walking
20.63847	0	Walking	
20.75058	0	Walking	Walking
21.15077	0	Walking	
21.21811	0	Walking	Walking
21.47789	0	Walking	Walking
21.52511	0	Walking	Walking
0	0		
0.02283898	0		
0.08326513	0		
0.1214469	0		
0.1537282	0		
0.1845637	0		
0.2311168	0		
0.2838787	1		
0.3215849	2		
0.3548151	3		
0.4015874	4		
0.4328392	5		
0.4655043	6		
0.5608675	7		
0.5952116	8		
1.463755	0	Walking	Walking
1.561738	0	Walking	
1.615524	0	Walking	Walking
1.850507	0	Walking	
1.881155	0	Walking	Walking
2.629539	0	Walking	Walking
2.824337	0	Walking	
2.85895	0	Walking	Walking
3.263237	0	Walking	
3.294996	0	Walking	Walking
3.514244	0	Walking	Walking
3.621253	0	Walking	
3.690435	0	Walking	Walking
4.17829	0	Walking	
4.274245	0	Walking	Walking
6.373155	0	Walking	Walking
6.790905	0	Walking	Walking
7.185519	0	Walking	Walking
7.834305	0	Walking	
7.914609	0	Walking	Walking
8.239111	0	Walking	
8.281384	0	Walking	Walking
8.331207	0	Walking	
8.358542	0	Walking	Walking
8.711171	0	Walking	
8.793587	0	Walking	Walking
9.070328	0	Walking	
9.165014	0	Walking	Walking
9.35737	0	Walking	
9.467915	0	Walking	Walking
11.66168	0	Walking	
11.69291	0	Walking	Walking
12.04149	0	Walking	
12.07816	0	Walking	Walking
12.49187	0	Walking	Walking
13.00296	0	Walking	Walking
13.17462	0	Walking	
13.37669	0	Walking	Walking
15.25383	0	Walking	
16.07358	0	Walking	Walking
16.34503	0	Walking	Walking
17.03242	0	Walking	
17.13945	0	Walking	Walking
17.55846	0	Walking	
17.58686	0	Walking	Walking
17.77387	0	Walking	Walking
17.80485	0	Walking	Walking
17.95738	0	Walking	
18.06234	0	Walking	Walking
18.34959	0	Walking	
18.41697	0	Walking	Walking
18.76314	0	Walking	
18.83676	0	Walking	Walking
19.06933	0	Walking	Walking
19.23192	0	Walking	
19.26316	0	Walking	Walking
19.46388	0	Walking	
19.5997	0	Walking	Walking
21.01093	0	Walking	
21.02809	0	Walking	Walking
21.47698	0	Walking	
21.5082	0	Walking	Walking
22.67648	0	Walking	Walking
23.06054	0	Walking	
23.12514	0	Walking	Walking
0	0		
0.02428758	0		
0.1066782	0		
0.1402339	0		
0.1706956	0		
0.2093271	0		
0.2581512	0		
0.2882924	0		
0.319396	0		
0.3507344	0		
0.3811431	0		
0.4338232	1		
0.4686685	2		
0.5005282	3		
0.5320991	4		
0.5796174	5		
0.6003711	6		
0.6188928	7		
0.6848437	8		
0.7231522	9		
0.7557271	10		
0.7831905	11		
0.8130226	12		
0.8441238	13		
0.8900498	14		
0.9202406	15		
0.953601	16		
0.99552	17		
1.044224	18		
1.076802	19		
1.107934	20		
1.144412	21		
1.176544	22		
0.045558	1	Segway	
0.07923493	2	Segway	
0.1093984	3	Segway	
0.1460029	4	Segway	
1.160617	5	Segway	
1.189072	5	Segway	Segway
0	0		
0.02447016	0		
0.08462259	0		
0.1232045	0		
0.1458253	0		
0.1702288	0		
0.1918424	0		
0.227436	0		
0.265393	0		
0.3042663	0		
0.3381832	0		
0.3715867	0		
0.42159	0		
0.4541246	0		
1.620064	1	Segway	
1.646726	1	Segway	Segway
0	0		
0.03507748	0		
0.09169413	0		
0.1
