#TimeStamp#	#Collision Event#	#Mode Switch Event#	#Reset Event#	#Waypoint Event#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	#HeadOrientationX#	#HeadOrientationY#	#HeadOrientationZ#	#WayPointX#	#WayPointY#	#WayPointZ#	#Accelerate#
1571.571	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.591	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.611	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.631	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.651	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.671	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.691	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.711	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.731	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.751	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.771	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.791	COLLISION_NONE	NOT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.811	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
1571.831	COLLISION_NONE	WAIT_SWITCH	NOT_RESET	NOT_WAYPOINT	56.35373	1.8	-169.6565	0	-0.1305259	0	0.9914449	0	0	0	0	0	0	0
