#Walking Trial Path#
#TimeStamp#	#PositionX#	#PositionY#	#PositionZ#	#OrientationX#	#OrientationY#	#OrientationZ#	#OrientationW#	
0	-295.5848	1.8	-311.0682	0	0	0	1
0.02	-296.5378	1.8	-311.2129	0	0.002476627	0	0.999997
0.04	-297.2939	1.8	-311.255	0	0.002476627	0	0.999997
0.06	-297.7514	1.8	-311.2693	0	0.004962988	0	0.9999877
0.08	-297.9095	1.8	-311.0838	0	0.007460725	0	0.9999722
0.09999999	-298.0614	1.8	-310.4951	0	0.007460725	0	0.9999722
0.12	-297.939	1.8	-310.0276	0	0.009970689	0	0.9999503
0.14	-297.7036	1.8	-309.305	0	0.01249333	0	0.999922
0.16	-297.6797	1.8	-308.3458	0	0.01249333	0	0.999922
0.18	-297.5088	1.8	-307.6481	0	0.0150289	0	0.9998871
0.2	-297.3608	1.8	-306.9633	0	0.01757754	0	0.9998455
0.22	-297.327	1.8	-306.0029	0	0.01757754	0	0.9998455
0.24	-297.2114	1.8	-305.3311	0	0.02013937	0	0.9997972
0.26	-297.1727	1.8	-304.3716	0	0.02013937	0	0.9997972
0.28	-297.1341	1.8	-303.4122	0	0.02013937	0	0.9997972
0.3	-297.0436	1.8	-302.7482	0	0.02271445	0	0.999742
0.32	-297	1.8	-301.7889	0	0.02271445	0	0.999742
0.34	-296.9165	1.8	-301.127	0	0.02530285	0	0.9996799
0.36	-296.8329	1.8	-300.4663	0	0.02790462	0	0.9996106
0.38	-296.7849	1.8	-299.6056	0	0.02790462	0	0.9996106
0.4	-296.7369	1.8	-298.745	0	0.02790462	0	0.9996106
0.42	-296.6639	1.8	-298.1833	0	0.03255539	0	0.9994699
0.4400001	-296.6052	1.8	-297.8438	0	0.0372298	0	0.9993067
0.4600001	-296.582	1.8	-297.4272	0	0.0372298	0	0.9993067
0.4800001	-296.538	1.8	-297.3099	0	0.04192786	0	0.9991207
0.5000001	-296.5272	1.8	-297.1154	0	0.04192786	0	0.9991207
0.52	-296.4966	1.8	-297.2202	0	0.04664959	0	0.9989113
0.54	-296.4966	1.8	-297.2195	0	0.04664959	0	0.9989113
0.56	-296.4769	1.8	-297.5186	0	0.05139499	0	0.9986784
0.58	-296.4572	1.8	-297.818	0	0.05616407	0	0.9984216
0.6	-296.4572	1.8	-297.818	0	0.05616407	0	0.9984216
0.6199999	-296.4375	1.8	-298.1173	0	0.06095683	0	0.9981405
0.6399999	-296.4375	1.8	-298.1173	0	0.06095683	0	0.9981405
0.6599999	-296.4178	1.8	-298.4167	0	0.06577326	0	0.9978346
0.6799999	-296.398	1.8	-298.716	0	0.07061338	0	0.9975038
0.6999999	-296.398	1.8	-298.716	0	0.07061338	0	0.9975038
0.7199998	-296.3783	1.8	-299.0154	0	0.07547715	0	0.9971476
0.7399998	-296.3783	1.8	-299.0154	0	0.07547715	0	0.9971476
0.7599998	-296.3586	1.8	-299.3147	0	0.08036458	0	0.9967656
0.7799998	-296.3586	1.8	-299.3147	0	0.08036458	0	0.9967656
0.7999998	-296.3389	1.8	-299.6141	0	0.08527566	0	0.9963574
0.8199998	-296.3192	1.8	-299.9134	0	0.09021037	0	0.9959227
