#Time To Switch#	#Num of Incorrect Switch#	#Target Mode#	#Current Mode#
6.317767	0	Walking	Walking
6.500281	0	Walking	
6.864384	0	Walking	Walking
7.047198	0	Walking	
7.312438	0	Walking	Walking
7.461303	0	Walking	
7.610411	0	Walking	Walking
7.776498	0	Walking	
7.859135	0	Walking	Walking
8.041735	0	Walking	
8.157553	0	Walking	Walking
8.40645	0	Walking	
8.737797	0	Walking	Walking
9.036711	0	Walking	
9.235699	0	Walking	Walking
9.417445	0	Walking	
9.666332	0	Walking	Walking
9.881686	0	Walking	
10.18014	0	Walking	Walking
10.44534	0	Walking	
10.66109	0	Walking	Walking
10.85994	0	Walking	
11.07539	0	Walking	Walking
11.22483	0	Walking	
11.52308	0	Walking	Walking
11.65565	0	Walking	
12.06999	0	Walking	Walking
12.33542	0	Walking	
12.81667	0	Walking	Walking
13.1642	0	Walking	
13.46278	0	Walking	Walking
13.66152	0	Walking	
13.76103	0	Walking	Walking
14.35794	0	Walking	
14.47439	0	Walking	Walking
17.2264	0	Walking	
17.25983	0	Walking	Walking
17.49174	0	Walking	Walking
17.70713	0	Walking	Walking
17.72412	0	Walking	Walking
17.74022	0	Walking	Walking
17.757	0	Walking	Walking
17.88945	0	Walking	
18.00581	0	Walking	Walking
18.55276	0	Walking	
18.68558	0	Walking	Walking
19.23254	0	Walking	Walking
19.31594	0	Walking	
19.64746	0	Walking	Walking
20.04535	0	Walking	
20.12793	0	Walking	Walking
20.60851	0	Walking	
20.70842	0	Walking	Walking
22.00098	0	Walking	
22.10098	0	Walking	Walking
23.60861	0	Walking	
23.75779	0	Walking	Walking
23.77482	0	Walking	Walking
24.13914	0	Walking	
24.20541	0	Walking	Walking
24.38798	0	Walking	
24.42083	0	Walking	Walking
24.50359	0	Walking	
24.60309	0	Walking	Walking
24.71974	0	Walking	
24.7524	0	Walking	Walking
24.86848	0	Walking	
24.96797	0	Walking	Walking
25.64763	0	Walking	
25.71403	0	Walking	Walking
26.04563	0	Walking	
26.0791	0	Walking	Walking
26.26105	0	Walking	
26.27819	0	Walking	Walking
26.44343	0	Walking	
26.49317	0	Walking	Walking
26.67568	0	Walking	
26.825	0	Walking	Walking
26.89148	0	Walking	
26.92415	0	Walking	Walking
27.0071	0	Walking	
27.12324	0	Walking	Walking
27.23919	0	Walking	Walking
27.30542	0	Walking	
27.58732	0	Walking	Walking
28.48261	0	Walking	
28.59848	0	Walking	Walking
29.22933	0	Walking	
29.32815	0	Walking	Walking
31.10187	0	Walking	
31.21846	0	Walking	Walking
31.46657	0	Walking	
31.48364	0	Walking	Walking
31.69871	0	Walking	
31.91413	0	Walking	Walking
32.03025	0	Walking	
32.17956	0	Walking	Walking
32.31213	0	Walking	Walking
32.39497	0	Walking	
32.62712	0	Walking	Walking
32.80983	0	Walking	
32.95869	0	Walking	Walking
33.17424	0	Walking	
33.29018	0	Walking	Walking
33.50614	0	Walking	
33.62166	0	Walking	Walking
33.80476	0	Walking	
33.95332	0	Walking	Walking
34.10249	0	Walking	
34.28484	0	Walking	Walking
34.40148	0	Walking	
34.55019	0	Walking	Walking
